date,revenue,visits
2023-01-01,10560.42,5720
2023-01-02,9725.55,4399
2023-01-03,10321.68,4892
2023-01-04,9741.84,5463
2023-01-05,10383.87,5081
2023-01-06,10450.69,5142
2023-01-07,11578.86,5481
2023-01-08,11371.33,5816
2023-01-09,10100.88,4976
2023-01-10,9453.93,5065
2023-01-11,9857.28,5336
2023-01-12,10366.69,5405
2023-01-13,10608.46,5337
2023-01-14,11347.76,5403
2023-01-15,11482.27,5917
2023-01-16,10874.55,5169
2023-01-17,11109.85,5682
2023-01-18,10940.63,5023
2023-01-19,10575.74,5514
2023-01-20,10390.57,5409
2023-01-21,11639.52,5788
2023-01-22,11975.43,6307
2023-01-23,10442.88,4882
2023-01-24,11070.24,5166
2023-01-25,10905.7,5588
2023-01-26,9466.46,5209
2023-01-27,9916.2,5363
2023-01-28,11046.72,6145
2023-01-29,11781.7,6027
2023-01-30,10608.87,5482
2023-01-31,11238.34,5123
2023-02-01,11137.63,5191
2023-02-02,11521.65,5183
2023-02-03,10355.0,5306
2023-02-04,12572.34,6195
2023-02-05,13353.82,5556
2023-02-06,10621.97,6094
2023-02-07,11503.74,4912
2023-02-08,11534.75,5615
2023-02-09,11014.84,5941
2023-02-10,10691.45,5549
2023-02-11,12471.17,5886
2023-02-12,12251.53,5979
2023-02-13,10401.56,5651
2023-02-14,11159.93,5241
2023-02-15,11030.02,5342
2023-02-16,11311.14,5169
2023-02-17,11005.02,6078
2023-02-18,12762.92,6257
2023-02-19,12377.54,5305
2023-02-20,11093.19,4621
2023-02-21,11102.36,5640
2023-02-22,11570.0,5605
2023-02-23,12164.86,5589
2023-02-24,11694.08,5350
2023-02-25,12387.66,5745
2023-02-26,13443.49,6507
2023-02-27,12189.05,5347
2023-02-28,10161.96,5347
2023-03-01,11756.43,5436
2023-03-02,11327.85,5694
2023-03-03,11934.77,5584
2023-03-04,11681.23,6416
2023-03-05,12620.03,6279
2023-03-06,11145.88,5438
2023-03-07,12155.53,5476
2023-03-08,10805.06,5875
2023-03-09,11616.45,5539
2023-03-10,10742.06,5436
2023-03-11,12669.27,6265
2023-03-12,12327.29,6132
2023-03-13,11078.23,5813
2023-03-14,12470.82,5827
2023-03-15,12340.58,5650
2023-03-16,11508.2,6069
2023-03-17,11815.76,5446
2023-03-18,12259.57,6890
2023-03-19,12260.07,6625
2023-03-20,11382.07,4988
2023-03-21,11047.86,5413
2023-03-22,11693.89,5632
2023-03-23,12294.53,5636
2023-03-24,11575.7,6053
